Kjøper,Postnr.,Latitude,Longitude,cleaned_postal_code
AUTO GARANTI SENTER AS,3040,59.7275,10.2415,3040
SIGMA BIL,5224,60.3182,5.3532,5224
PÅL SIGURD MOSTAD,1605,59.2204,10.9478,1605
AUTOWAGON AS,4016,58.9701,5.7333,4016
EVJEN BIL,3027,59.7539,10.1184,3027
DINBRUKTBIL.NO AS,4351,58.7742,5.6294,4351
KALBAKKEN BIL AS,0975,59.9127,10.7461,0975
CARLSEN AS,5238,60.3106,5.3455,5238
SIGMA BIL,5224,60.3182,5.3532,5224
C.S BIL NORGE AS,3731,59.1977,9.5354,3731
AANESTAD BIL AS,4365,58.6655,5.6379,4365
FREDRIKSTAD BILPLEIE SERVICE FARHAD TAHA KADIR,1605,59.2204,10.9478,1605
SIGMA BIL,5224,60.3182,5.3532,5224
AUTO GARANTI SENTER AS,3040,59.7275,10.2415,3040
BIL-KOMPANIET AS,4053,58.9039,5.6237,4053
FREDRIKSTAD BILPLEIE SERVICE FARHAD TAHA KADIR,1605,59.2204,10.9478,1605
RIKE AUTO AS,3512,60.5565,10.0877,3512
AUTO X STAVANGER AS,4031,58.9701,5.7333,4031
AK BILSENTER AS,2007,59.9752,11.0421,2007
HOKKSUND AUTO AS,3302,59.7701,9.8764,3302
SEVLAND BIL AS,4250,59.2835,5.3067,4250
HAMY AUTO AS,5155,60.3266,5.3024,5155
ÅLESUND BRUKTBIL AS,6010,62.4723,6.1549,6010
AUTO X STAVANGER AS,4031,58.9701,5.7333,4031
KLIKKBIL AS,3539,60.5565,10.0877,3539
RA BILVERKSTED AS,4636,58.1467,7.9956,4636
ØSTFOLD BILSALG AS AVD ASKIM,1832,59.591,11.1312,1832
CLASSIC 11 AS,1364,59.8927,10.619,1364
A&M AUTO AMIN,5258,60.2825,5.2503,5258
BILAN AS,3027,59.7539,10.1184,3027
SIGMA BIL,5224,60.3182,5.3532,5224
ASKER BILMEGLING AS,1392,59.824,10.4731,1392
BIL2 AS,7606,63.7464,11.2996,7606
LUX AUTOSENTER AS,3115,59.2634,10.3989,3115
X AUTO AS,1900,59.9305,11.1667,1900
BILCONCEPT AS,4313,58.8524,5.7352,4313
RA BILVERKSTED AS,4636,58.1467,7.9956,4636
TELEMARK BILUTSALG AS,3967,59.013,9.5323,3967
AUTONOA AS,3713,59.1783,9.6413,3713
MOBILE TRADING AS,3170,59.2809,10.3315,3170
TELEMARK BILUTSALG AS,3967,59.013,9.5323,3967
TELEMARK BILUTSALG AS,3967,59.013,9.5323,3967
AUTOPARTNER OSLO AS,0668,59.9127,10.7461,0668
